DBN,School Name,Enrollment,Instruction and Performance - Rating,Teaching Environment - School Percent Positive,Family Involvement - School Percent Positive,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Average Student Attendance,Advising and Planning - School Percent Positive,N count - Postsecondary Enrollment Rate - 6 Months,Metric Value - Postsecondary Enrollment Rate - 6 Months,N count - 4-Year High School Persistence Rate,Metric Value - 4-Year High School Persistence Rate,Metric Value - 4-Year Graduation Rate - All Students,N count - 4-Year Graduation Rate - All Students,Metric Value - 4-Year College and Career Readiness - All Students,readiness_gap,Student Support - School Percent Positive
01M292,Orchard Collegiate Academy,258,Fair,0.88,0.81,0.911,0.19,0.837,0.818,0.89,75,0.707,58,0.897,0.879,58,54,-53.121,79%
01M448,University Neighborhood High School,476,Excellent,0.95,0.82,0.719,0.097,0.639,0.915,0.93,124,0.839,109,1,1,109,77.1,-76.1,87%
01M450,East Side Community School,377,Excellent,0.93,0.93,0.658,0.101,0.52,0.935,0.91,95,0.905,91,0.989,0.978,91,67.1,-66.122,83%
01M539,"New Explorations into Science, Technology and Math High School",579,Excellent,0.93,0.93,0.436,0.029,0.366,0.941,0.89,154,0.935,118,1,0.992,118,94.2,-93.208,79%
01M696,Bard High School Early College,570,Excellent,0.81,0.85,0.496,0.053,0.404,0.919,0.85,133,0.767,125,0.992,0.968,125,85.9,-84.932,79%
02M047,47 The American Sign Language and English Secondary School,148,Excellent,0.57,0.84,0.843,0.169,0.764,0.87,0.79,40,0.825,47,1,1,47,61.4,-60.4,68%
02M135,The Urban Assembly Early College High School of Emergency Medicine,360,Good,0.89,0.77,0.88,0.203,0.814,0.84,0.84,58,0.638,65,0.985,0.969,65,53.2,-52.231,69%
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,339,Fair,0.88,0.86,0.896,0.142,0.847,0.829,0.88,73,0.438,87,0.885,0.851,87,51.3,-50.449,80%
02M260,The Clinton School,524,Excellent,0.8,0.82,0.314,0.029,0.244,0.948,0.78,127,0.929,123,1,0.992,123,91,-90.008,72%
02M280,Manhattan Early College School for Advertising,389,Good,0.64,0.78,0.872,0.254,0.763,0.819,0.83,82,0.646,94,0.915,0.915,94,58.5,-57.585,72%
02M282,Urban Assembly Maker Academy,537,Good,0.82,0.85,0.738,0.115,0.663,0.856,0.91,125,0.712,129,0.977,0.969,129,53.2,-52.231,83%
02M288,Food and Finance High School,485,Good,0.71,0.93,0.839,0.165,0.769,0.857,0.87,89,0.674,94,0.957,0.926,94,50.6,-49.674,72%
02M294,Essex Street Academy,367,Excellent,0.95,0.89,0.579,0.074,0.49,0.877,0.9,89,0.82,80,0.963,0.95,80,53.9,-52.95,86%
02M296,High School of Hospitality Management,235,Fair,0.72,,0.917,0.383,0.723,0.709,0.85,58,0.621,38,0.868,0.737,38,56,-55.263,73%
02M298,Pace High School,498,Fair,0.64,0.84,0.817,0.116,0.759,0.817,0.85,147,0.673,138,0.891,0.783,138,48.6,-47.817,71%
02M300,"Urban Assembly School of Design and Construction, The",199,Fair,,0.81,0.881,0.246,0.784,0.797,,69,0.623,57,0.912,0.86,57,41.1,-40.24,
02M303,"Facing History School, The",267,Good,0.92,0.84,0.906,0.251,0.798,0.789,0.87,84,0.75,87,0.908,0.885,87,41,-40.115,78%
02M305,"Urban Assembly Academy of Government and Law, The",258,Fair,0.88,0.81,0.863,0.182,0.802,0.823,0.91,66,0.636,64,0.875,0.813,64,52.1,-51.287,80%
02M308,Lower Manhattan Arts Academy,263,Fair,0.72,0.79,0.904,0.217,0.84,0.762,0.85,77,0.61,75,0.88,0.813,75,46.5,-45.687,70%
02M316,"Urban Assembly School of Business for Young Women, the",125,Fair,1,0.73,,0.584,0.672,0.713,0.9,14,,27,1,0.889,27,42.1,-41.211,83%
02M374,Gramercy Arts High School,421,Good,0.68,0.9,0.729,0.09,0.641,0.884,0.89,107,0.785,112,0.982,0.982,112,58.5,-57.518,71%
02M376,NYC iSchool,446,Excellent,0.93,0.83,0.57,0.065,0.516,0.92,0.92,120,0.85,101,1,0.98,101,77.5,-76.52,84%
02M392,Manhattan Business Academy,437,Excellent,0.95,0.81,0.877,0.167,0.803,0.845,0.91,94,0.66,91,0.989,0.978,91,52.1,-51.122,83%
02M393,Business Of Sports School,401,Fair,0.91,0.87,0.89,0.207,0.838,0.829,0.86,104,0.587,92,0.87,0.772,92,38,-37.228,74%
02M395,A School Without Walls,207,,0.81,0.88,0.698,0.135,0.643,0.764,0.84,,,2,,,2,,,79%
02M399,The High School For Language And Diplomacy,132,Fair,0.94,0.86,0.884,0.379,0.629,0.78,0.9,42,0.69,29,0.897,0.828,29,42.7,-41.872,79%
02M400,High School for Environmental Studies,995,Good,0.83,0.79,0.714,0.114,0.624,0.865,0.89,295,0.817,233,0.961,0.918,233,61.2,-60.282,76%
02M407,Institute for Collaborative Education,267,Excellent,,,0.35,0.022,0.258,0.905,,82,0.817,66,0.985,0.985,66,71.6,-70.615,
02M408,Professional Performing Arts High School,435,Excellent,0.87,0.88,0.495,0.071,0.395,0.905,0.81,115,0.757,114,1,1,114,68.9,-67.9,72%
