Primary_Key,DBN,Subgroup,n_count_ccr,ccr_rate,n_count_graduation_rate,graduation_rate,n_count_hs_persistence_rate,hs_persistence_rate,n_count_90pct_attendance,90pct_attendance_rate,n_count_enrollment,enrollment_rate,readiness_gap
01M292_Asian,01M292,Asian,19,0.00842,19,1.0,19,1.0,38,0.763,10,,0.15799999999999992
01M292_Black,01M292,Black,9,,9,,9,,58,0.379,18,0.556,
01M292_Hispanic or Latinx,01M292,Hispanic,27,0.004,27,0.889,27,0.889,153,0.412,44,0.705,0.489
01M292_White,01M292,White,2,,2,,2,,,,1,,
01M448_Asian,01M448,Asian,35,0.00887,35,1.0,35,1.0,154,0.844,36,0.944,0.11299999999999999
01M448_Black,01M448,Black,17,0.00664,17,1.0,17,1.0,61,0.639,24,0.75,0.33599999999999997
01M448_Hispanic or Latinx,01M448,Hispanic,51,0.00722,51,1.0,51,1.0,202,0.683,58,0.793,0.278
01M448_White,01M448,White,5,,5,,5,,,,6,,
01M450_Asian,01M450,Asian,10,,10,,10,,27,0.889,6,,
01M450_Black,01M450,Black,14,,14,,14,,59,0.763,12,,
01M450_Hispanic or Latinx,01M450,Hispanic,46,0.006459999999999999,46,0.978,46,0.978,206,0.767,54,0.852,0.3320000000000001
01M450_White,01M450,White,15,0.00837,15,1.0,15,1.0,,,20,1.0,0.16299999999999992
01M539_Asian,01M539,Asian,32,0.00968,32,1.0,32,1.0,187,0.877,39,1.0,0.03200000000000003
01M539_Black,01M539,Black,5,,5,,5,,38,0.737,11,,
01M539_Hispanic or Latinx,01M539,Hispanic,17,0.00862,17,1.0,17,1.0,88,0.795,26,0.885,0.138
01M539_White,01M539,White,51,0.0095,51,0.98,51,1.0,,,66,0.924,0.030000000000000027
01M696_Asian,01M696,Asian,21,0.00862,21,0.905,21,0.952,116,0.733,24,0.833,0.04300000000000004
01M696_Black,01M696,Black,33,0.00828,33,0.97,33,1.0,88,0.545,16,0.938,0.14200000000000002
01M696_Hispanic or Latinx,01M696,Hispanic,33,0.008329999999999999,33,1.0,33,1.0,138,0.696,26,0.769,0.16700000000000004
01M696_White,01M696,White,37,0.009059999999999999,37,0.973,37,1.0,,,58,0.672,0.06700000000000006
02M047_Asian,02M047,Asian,,,,,,,7,,,,
02M047_Black,02M047,Black,4,,4,,4,,23,0.478,5,,
02M047_Hispanic or Latinx,02M047,Hispanic,40,0.00631,40,1.0,40,1.0,110,0.5,34,0.882,0.369
02M047_White,02M047,White,2,,2,,2,,,,1,,
02M135_Asian,02M135,Asian,1,,1,,1,,9,,1,,
02M135_Black,02M135,Black,26,0.00439,26,0.962,26,1.0,138,0.543,22,0.818,0.5229999999999999
02M135_Hispanic or Latinx,02M135,Hispanic,34,0.005660000000000001,34,0.971,34,0.971,208,0.514,27,0.444,0.4049999999999999
02M135_White,02M135,White,2,,2,,2,,,,4,,
02M139_Asian,02M139,Asian,3,,3,,3,,12,,,,
02M139_Black,02M139,Black,26,0.004220000000000001,26,0.731,26,0.808,93,0.473,20,0.45,0.30899999999999994
02M139_Hispanic or Latinx,02M139,Hispanic,54,0.005410000000000001,54,0.889,54,0.907,239,0.473,50,0.44,0.348
02M139_White,02M139,White,4,,4,,4,,,,2,,
02M260_Asian,02M260,Asian,21,0.00887,21,1.0,21,1.0,71,0.887,10,,0.11299999999999999
02M260_Black,02M260,Black,,,,,,,20,0.7,5,,
02M260_Hispanic or Latinx,02M260,Hispanic,17,0.00847,17,1.0,17,1.0,71,0.817,22,0.818,0.15300000000000002
02M260_White,02M260,White,63,0.009250000000000001,63,0.984,63,1.0,,,81,0.951,0.05899999999999994
02M280_Asian,02M280,Asian,11,,11,,11,,33,0.758,8,,
02M280_Black,02M280,Black,27,0.005620000000000001,27,0.852,27,0.852,107,0.579,20,0.65,0.2899999999999999
02M280_Hispanic or Latinx,02M280,Hispanic,49,0.0055899999999999995,49,0.939,49,0.939,240,0.5,47,0.574,0.38
02M280_White,02M280,White,2,,2,,2,,,,6,,
02M282_Asian,02M282,Asian,12,,12,,12,,41,0.634,6,,
02M282_Black,02M282,Black,41,0.00384,41,0.927,41,0.951,144,0.431,39,0.744,0.543
02M282_Hispanic or Latinx,02M282,Hispanic,60,0.00523,60,0.983,60,0.983,272,0.533,67,0.642,0.45999999999999996
02M282_White,02M282,White,13,,13,,13,,,,11,,
02M288_Asian,02M288,Asian,3,,3,,3,,11,,2,,
02M288_Black,02M288,Black,35,0.0053,35,0.943,35,0.971,155,0.529,35,0.629,0.4129999999999999
02M288_Hispanic or Latinx,02M288,Hispanic,50,0.00451,50,0.92,50,0.94,303,0.538,50,0.7,0.46900000000000003
02M288_White,02M288,White,5,,5,,5,,,,2,,
02M294_Asian,02M294,Asian,1,,1,,1,,22,0.818,8,,
02M294_Black,02M294,Black,16,0.004320000000000001,16,1.0,16,1.0,68,0.559,20,0.7,0.568
02M294_Hispanic or Latinx,02M294,Hispanic,30,0.004379999999999999,30,0.9,30,0.933,133,0.496,41,0.756,0.4620000000000001
02M294_White,02M294,White,31,0.0067599999999999995,31,0.968,31,0.968,,,17,1.0,0.29200000000000004
02M296_Asian,02M296,Asian,1,,1,,1,,6,,4,,
02M296_Black,02M296,Black,7,,7,,7,,45,0.356,10,,
