DBN,School Name,borough,district,school_indentifier,Latitude,Longitude,geometry
01M292,Orchard Collegiate Academy,Manhattan,1,292,40.713362,-73.986051,POINT (-8236089.5231 4970154.115800001)
01M448,University Neighborhood High School,Manhattan,1,448,40.712269,-73.984128,POINT (-8235875.455700001 4969993.595899999)
01M450,East Side Community School,Manhattan,1,450,40.729152,-73.982472,POINT (-8235691.1107 4972473.356399998)
01M539,"New Explorations into Science, Technology and Math High School",Manhattan,1,539,40.719416,-73.979581,POINT (-8235369.286 4971043.264300004)
01M696,Bard High School Early College,Manhattan,1,696,40.718276,-73.976093,POINT (-8234981.0035999995 4970875.826800004)
02M047,47 The American Sign Language and English Secondary School,Manhattan,2,47,40.738374,-73.981329,POINT (-8235563.8725000005 4973828.141599998)
02M135,The Urban Assembly Early College High School of Emergency Medicine,Manhattan,2,135,40.711441,-74.000851,POINT (-8237737.0516 4969871.996100001)
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,Manhattan,2,139,40.763655,-73.990318,POINT (-8236564.523399999 4977543.085000001)
02M260,The Clinton School,Manhattan,2,260,40.736526,-73.992727,POINT (-8236832.692 4973556.640600003)
02M280,Manhattan Early College School for Advertising,Manhattan,2,280,40.711441,-74.000851,POINT (-8237737.0516 4969871.996100001)
02M282,Urban Assembly Maker Academy,Manhattan,2,282,40.711441,-74.000851,POINT (-8237737.0516 4969871.996100001)
02M288,Food and Finance High School,Manhattan,2,288,40.765474,-73.9927,POINT (-8236829.6864 4977810.434299998)
02M294,Essex Street Academy,Manhattan,2,294,40.717329,-73.989329,POINT (-8236454.428400001 4970736.738399997)
02M296,High School of Hospitality Management,Manhattan,2,296,40.765474,-73.9927,POINT (-8236829.6864 4977810.434299998)
02M298,Pace High School,Manhattan,2,298,40.716231,-73.993607,POINT (-8236930.6532000005 4970575.474600002)
02M300,"Urban Assembly School of Design and Construction, The",Manhattan,2,300,40.765474,-73.9927,POINT (-8236829.6864 4977810.434299998)
02M303,"Facing History School, The",Manhattan,2,303,40.765474,-73.9927,POINT (-8236829.6864 4977810.434299998)
02M305,"Urban Assembly Academy of Government and Law, The",Manhattan,2,305,40.717329,-73.989329,POINT (-8236454.428400001 4970736.738399997)
02M308,Lower Manhattan Arts Academy,Manhattan,2,308,40.717329,-73.989329,POINT (-8236454.428400001 4970736.738399997)
02M316,"Urban Assembly School of Business for Young Women, the",Manhattan,2,316,40.705688,-74.013303,POINT (-8239123.2019 4969027.154600002)
02M374,Gramercy Arts High School,Manhattan,2,374,40.735361,-73.987064,POINT (-8236202.289799999 4973385.487300001)
02M376,NYC iSchool,Manhattan,2,376,40.72463,-74.005058,POINT (-8238205.3727 4971809.107299998)
02M392,Manhattan Business Academy,Manhattan,2,392,40.743407,-74.00254,POINT (-8237925.0702 4974567.608499996)
02M393,Business Of Sports School,Manhattan,2,393,40.763655,-73.990318,POINT (-8236564.523399999 4977543.085000001)
02M395,A School Without Walls,Manhattan,2,395,40.708971,-74.012465,POINT (-8239029.916200001 4969509.2619)
02M399,The High School For Language And Diplomacy,Manhattan,2,399,40.735361,-73.987064,POINT (-8236202.289799999 4973385.487300001)
02M400,High School for Environmental Studies,Manhattan,2,400,40.767848,-73.98861,POINT (-8236374.389699999 4978159.366400003)
02M407,Institute for Collaborative Education,Manhattan,2,407,40.732665,-73.98259,POINT (-8235704.2464000005 4972989.421899997)
02M408,Professional Performing Arts High School,Manhattan,2,408,40.761327,-73.988665,POINT (-8236380.5123 4977200.935500003)
