DBN,School Name,Enrollment,Instruction and Performance - Rating,Teaching Environment - School Percent Positive,Family Involvement - School Percent Positive,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Average Student Attendance,Advising and Planning - School Percent Positive
01M292,Orchard Collegiate Academy,258,Fair,0.88,0.81,0.911,0.19,0.837,0.818,0.89
01M448,University Neighborhood High School,476,Excellent,0.95,0.82,0.719,0.097,0.639,0.915,0.93
01M450,East Side Community School,377,Excellent,0.93,0.93,0.658,0.101,0.52,0.935,0.91
01M539,"New Explorations into Science, Technology and Math High School",579,Excellent,0.93,0.93,0.436,0.029,0.366,0.941,0.89
01M696,Bard High School Early College,570,Excellent,0.81,0.85,0.496,0.053,0.404,0.919,0.85
02M047,47 The American Sign Language and English Secondary School,148,Excellent,0.57,0.84,0.843,0.169,0.764,0.87,0.79
02M135,The Urban Assembly Early College High School of Emergency Medicine,360,Good,0.89,0.77,0.88,0.203,0.814,0.84,0.84
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,339,Fair,0.88,0.86,0.896,0.142,0.847,0.829,0.88
02M260,The Clinton School,524,Excellent,0.8,0.82,0.314,0.029,0.244,0.948,0.78
02M280,Manhattan Early College School for Advertising,389,Good,0.64,0.78,0.872,0.254,0.763,0.819,0.83
02M282,Urban Assembly Maker Academy,537,Good,0.82,0.85,0.738,0.115,0.663,0.856,0.91
02M288,Food and Finance High School,485,Good,0.71,0.93,0.839,0.165,0.769,0.857,0.87
02M294,Essex Street Academy,367,Excellent,0.95,0.89,0.579,0.074,0.49,0.877,0.9
02M296,High School of Hospitality Management,235,Fair,0.72,,0.917,0.383,0.723,0.709,0.85
02M298,Pace High School,498,Fair,0.64,0.84,0.817,0.116,0.759,0.817,0.85
02M300,"Urban Assembly School of Design and Construction, The",199,Fair,,0.81,0.881,0.246,0.784,0.797,
02M303,"Facing History School, The",267,Good,0.92,0.84,0.906,0.251,0.798,0.789,0.87
02M305,"Urban Assembly Academy of Government and Law, The",258,Fair,0.88,0.81,0.863,0.182,0.802,0.823,0.91
02M308,Lower Manhattan Arts Academy,263,Fair,0.72,0.79,0.904,0.217,0.84,0.762,0.85
02M316,"Urban Assembly School of Business for Young Women, the",125,Fair,1.0,0.73,,0.584,0.672,0.713,0.9
02M374,Gramercy Arts High School,421,Good,0.68,0.9,0.729,0.09,0.641,0.884,0.89
02M376,NYC iSchool,446,Excellent,0.93,0.83,0.57,0.065,0.516,0.92,0.92
02M392,Manhattan Business Academy,437,Excellent,0.95,0.81,0.877,0.167,0.803,0.845,0.91
02M393,Business Of Sports School,401,Fair,0.91,0.87,0.89,0.207,0.838,0.829,0.86
02M395,A School Without Walls,207,,0.81,0.88,0.698,0.135,0.643,0.764,0.84
02M399,The High School For Language And Diplomacy,132,Fair,0.94,0.86,0.884,0.379,0.629,0.78,0.9
02M400,High School for Environmental Studies,995,Good,0.83,0.79,0.714,0.114,0.624,0.865,0.89
02M407,Institute for Collaborative Education,267,Excellent,,,0.35,0.022,0.258,0.905,
02M408,Professional Performing Arts High School,435,Excellent,0.87,0.88,0.495,0.071,0.395,0.905,0.81
02M411,Baruch College Campus High School,479,Excellent,0.9,0.83,0.61,0.061,0.537,0.931,0.93
02M412,N.Y.C. Lab School for Collaborative Studies,415,Excellent,0.85,0.88,0.525,0.048,0.46,0.932,0.89
02M413,School of the Future High School,418,Excellent,0.87,0.85,0.485,0.026,0.419,0.916,0.78
02M414,N.Y.C. Museum School,483,Excellent,0.83,0.81,0.515,0.039,0.449,0.942,0.86
02M416,Eleanor Roosevelt High School,540,Excellent,0.86,0.87,0.511,0.05,0.444,0.949,0.91
02M418,Millennium High School,687,Excellent,0.88,0.81,0.424,0.054,0.328,0.949,0.88
02M419,Landmark High School,294,Fair,0.87,0.81,0.891,0.293,0.776,0.802,0.85
02M420,High School for Health Professions and Human Services,1723,Good,0.82,0.78,0.813,0.089,0.747,0.902,0.84
02M422,Quest to Learn,201,Fair,0.75,0.83,0.808,0.254,0.672,0.769,0.85
02M425,Leadership and Public Service High School,267,Fair,0.84,0.82,0.847,0.251,0.7,0.775,0.86
02M427,Manhattan Academy For Arts & Language,288,Fair,0.93,0.73,,0.767,0.764,0.699,0.86
02M432,Murray Hill Academy,300,Good,0.97,0.77,0.797,0.103,0.727,0.856,0.88
02M437,Hudson High School of Learning Technologies,187,Fair,0.75,0.83,0.855,0.267,0.765,0.813,0.87
02M438,International High School at Union Square,361,Good,0.94,0.8,,0.609,0.637,0.855,0.9
02M439,Manhattan Village Academy,393,Excellent,0.65,0.84,0.629,0.097,0.522,0.928,0.85
02M449,Vanguard High School,398,Good,0.91,0.89,0.861,0.126,0.791,0.793,0.94
02M459,Manhattan International High School,358,Good,0.94,0.86,,0.461,0.682,0.842,0.92
02M475,Stuyvesant High School,3266,Excellent,0.88,0.8,0.458,0.039,0.371,0.961,0.89
02M489,High School of Economics and Finance,645,Good,0.81,0.81,0.785,0.127,0.701,0.901,0.88
02M500,Unity Center for Urban Technologies,256,Good,,,0.885,0.332,0.781,0.829,
02M507,Urban Assembly Gateway School for Technology,405,Excellent,0.95,0.93,0.704,0.116,0.64,0.899,0.91
02M519,Talent Unlimited High School,462,Excellent,0.89,0.89,0.676,0.123,0.574,0.886,0.89
02M520,Murry Bergtraum High School for Business Careers,133,Needs Improvement,0.86,0.53,0.91,0.346,0.729,0.716,0.79
02M529,Jacqueline Kennedy Onassis High School,316,Fair,0.94,0.91,0.891,0.275,0.778,0.814,0.91
02M531,Repertory Company High School for Theatre Arts,204,Excellent,0.94,0.88,0.59,0.123,0.5,0.9,0.88
02M533,Union Square Academy for Health Sciences,520,Good,0.83,0.81,0.859,0.115,0.79,0.938,0.88
02M534,Harvest Collegiate High School,370,Fair,0.8,0.78,0.755,0.13,0.676,0.843,0.86
02M542,Manhattan Bridges High School,395,Excellent,0.79,0.84,0.935,0.294,0.787,0.924,0.89
02M543,New Design High School,415,Good,0.84,0.86,0.89,0.147,0.836,0.842,0.91
02M545,High School for Dual Language and Asian Studies,363,Excellent,0.88,0.71,0.715,0.091,0.62,0.975,0.9
02M546,Academy for Software Engineering,441,Good,0.77,0.85,0.854,0.175,0.787,0.833,0.86
02M551,Urban Assembly New York Harbor School,518,Fair,0.72,0.85,0.56,0.06,0.488,0.892,0.89
02M580,Richard R. Green High School of Teaching,407,Fair,0.89,0.83,0.578,0.125,0.496,0.845,0.91
02M600,The High School of Fashion Industries,1446,Good,0.87,0.83,0.788,0.127,0.723,0.889,0.9
02M605,Humanities Preparatory Academy,268,Good,0.99,0.69,0.682,0.112,0.601,0.881,0.87
02M615,Chelsea Career and Technical Education High School,388,Fair,0.8,0.88,0.858,0.134,0.807,0.811,0.88
02M630,Art and Design High School,1490,Excellent,0.85,0.89,0.469,0.053,0.379,0.905,0.86
02M655,The High School for Climate Justice,380,Fair,0.9,0.76,0.92,0.226,0.861,0.724,0.87
03M291,West End Secondary School,423,Excellent,,0.85,0.441,0.047,0.366,0.901,
03M307,"Urban Assembly School for Media Studies, The",332,Fair,0.85,0.92,0.882,0.226,0.81,0.835,0.88
03M402,The Urban Assembly School for Green Careers,323,Fair,0.49,0.88,0.927,0.186,0.845,0.789,0.85
03M403,The Global Learning Collaborative,393,Fair,0.88,0.78,0.921,0.232,0.852,0.792,0.87
03M415,Wadleigh Secondary School for the Performing & Visual Arts,274,Excellent,0.77,0.91,0.905,0.168,0.836,0.862,0.8
03M417,Frank McCourt High School,410,Good,0.9,0.79,0.671,0.066,0.607,0.887,0.83
03M479,Beacon High School,1378,Excellent,,0.76,0.562,0.049,0.502,0.942,
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,2248,Excellent,0.74,0.88,0.344,0.028,0.253,0.949,0.8
03M492,"High School for Law, Advocacy and Community Justice",531,Fair,0.64,0.82,0.897,0.269,0.806,0.732,0.77
03M494,High School of Arts and Technology,393,Fair,0.64,0.97,0.92,0.142,0.86,0.776,0.86
03M541,Manhattan / Hunter Science High School,449,Excellent,0.76,0.79,0.699,0.085,0.606,0.951,0.86
03M610,Young Women's Leadership School,268,Excellent,0.91,0.79,0.857,0.123,0.78,0.89,0.89
03M859,Special Music School,176,Excellent,0.96,0.93,0.337,0.04,0.239,0.927,0.9
03M860,Frederick Douglass Academy II Secondary School,263,Fair,0.72,0.8,,0.24,0.909,0.88,0.83
04M372,Esperanza Preparatory Academy,347,Fair,0.79,0.84,,0.366,0.821,0.84,0.85
04M435,Manhattan Center for Science and Mathematics,1655,Excellent,0.94,0.79,0.754,0.114,0.677,0.942,0.92
04M495,Park East High School,399,Excellent,0.84,0.86,0.786,0.108,0.692,0.915,0.92
04M555,Central Park East High School,480,Excellent,0.91,0.82,0.785,0.088,0.715,0.954,0.93
04M680,"Heritage School, The",230,Fair,0.89,0.79,0.933,0.161,0.887,0.838,0.89
05M148,Eagle Academy for Young Men of Harlem,177,Good,0.69,0.7,0.923,0.232,0.831,0.817,0.92
05M157,The Urban Assembly School for Global Commerce,159,Needs Improvement,0.67,0.95,0.95,0.346,0.868,0.779,0.82
05M304,Mott Hall High School,278,Good,0.89,0.83,0.936,0.327,0.766,0.785,0.87
05M362,Columbia Secondary School,423,Excellent,0.57,0.82,0.541,0.04,0.421,0.942,0.85
05M369,Urban Assembly School for the Performing Arts,175,Fair,0.68,0.81,0.908,0.211,0.851,0.782,0.83
05M499,Frederick Douglass Academy,503,Fair,0.68,,0.904,0.167,0.845,0.902,0.85
05M670,Thurgood Marshall Academy for Learning and Social Change,291,Fair,0.89,0.89,0.925,0.131,0.866,0.838,0.83
05M692,"High School for Mathematics, Science and Engineering at City College",576,Excellent,0.83,0.76,0.385,0.031,0.3,0.957,0.9
06M211,Inwood Early College for Health and Information Technologies,377,Fair,0.7,0.88,0.896,0.164,0.849,0.877,0.88
06M293,City College Magnet School of the Arts,340,Excellent,,0.83,0.877,0.144,0.812,0.887,
06M346,Community Health Academy of the Heights,348,Good,0.96,0.97,0.929,0.19,0.845,0.86,0.94
06M348,Washington Heights Expeditionary Learning School,405,Good,0.73,0.94,0.899,0.128,0.844,0.848,0.88
06M462,The College Academy,350,Excellent,0.94,0.86,,0.366,0.811,0.859,0.9
06M463,High School for Media and Communications,363,Good,0.85,0.89,,0.496,0.791,0.802,0.87
06M467,High School for Law and Public Service,502,Fair,0.83,1.0,,0.556,0.711,0.826,0.9
06M468,High School for Health Careers and Sciences,425,Fair,0.77,0.99,0.947,0.369,0.793,0.846,0.87
06M540,A. Philip Randolph Campus High School,1408,Fair,,0.72,0.914,0.222,0.833,0.818,
06M552,Gregorio Luperon High School for Science and Mathematics,662,Excellent,0.93,0.91,,0.406,0.737,0.886,0.91
07X221,South Bronx Preparatory: A College Board School,369,Good,0.83,0.81,,0.168,0.905,0.907,0.88
