"ViolationID","BuildingID","RegistrationID","BoroID","Borough","HouseNumber","LowHouseNumber","HighHouseNumber","StreetName","StreetCode","Postcode","Apartment","Story","Block","Lot","Class","InspectionDate","ApprovedDate","OriginalCertifyByDate","OriginalCorrectByDate","NewCertifyByDate","NewCorrectByDate","CertifiedDate","OrderNumber","NOVID","NOVDescription","NOVIssuedDate","CurrentStatusID","CurrentStatus","CurrentStatusDate"
"10495346","394885","375935","3","BROOKLYN","2929","2930","2930","WEST 31 ST","91830","11224","2F2","2","7050","1","C","01/04/2015","01/04/2015","01/18/2015","01/13/2015",,,,"583","4977723","§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING IN THE KITCHEN LOCATED AT APT 2F2, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH","01/05/2015","19","VIOLATION CLOSED","02/03/2015"
"10493946","42167","113457","1","MANHATTAN","519","519","521","WEST 147 STREET","36710","10031","21","2","2079","19","C","12/31/2014","01/02/2015","01/18/2015","01/13/2015",,,,"583","4977028","§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK CEILING AND SOUTH WALL IN THE BATHROOM LOCATED AT APT 21, 2nd STORY, 2nd APARTMENT FROM EAST AT SOUTH","01/05/2015","19","VIOLATION CLOSED","01/13/2015"
"10492763","387743","325466","3","BROOKLYN","374","374","374","WALLABOUT STREET","89030","11206","3L","3","2266","13","C","12/31/2014","01/02/2015","01/13/2015","01/01/2015",,,,"670","4977840","§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT LOCATED AT APT 3L, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH","01/05/2015","19","VIOLATION CLOSED","05/15/2015"
"10492765","387743","325466","3","BROOKLYN","374","374","374","WALLABOUT STREET","89030","11206","3L","3","2266","13","C","12/31/2014","01/02/2015","01/13/2015","01/01/2015",,,,"664","4977840","§ 27-2028, 2032 ADM CODE PROVIDE AN ADEQUATE SUPPLY OF HEAT FROM AN APPROVED CENTRAL HEATING SYSTEM, OR AN APPROVED SYSTEM OF GAS OR ELECTRICAL HEATING IN GOOD OPERATING CONDITION FOR THE DWELLING UNIT IN THE ENTIRE APARTMENT LOCATED AT APT 3L, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH","01/05/2015","9","VIOLATION DISMISSED","05/15/2015"
"10495189","97557","202501","2","BRONX","2338","2338","2338","MORRIS AVENUE","52120","10468","3F","3","3172","16","C","01/04/2015","01/05/2015","01/18/2015","01/13/2015",,,"01/09/2015","583","4977758","§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK CASCADING AT CEILING IN THE KITCHEN LOCATED AT APT 3F, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH , SECTION AT WEST","01/05/2015","9","VIOLATION DISMISSED","03/23/2015"
"10494439","268493","309086","3","BROOKLYN","229","229","229","EAST 52 STREET","37080","11203","4C","4","4658","1","C","01/02/2015","01/02/2015","01/18/2015","01/13/2015",,,,"688","4977197","§ 27-2037, 2038 HMC: PROVIDE A SAFE AND ADEQUATE SUPPLY OF ELECTRIC SERVICE TO THE FIXTURES .. LOCATED AT APT 4C, 4th STORY, 1st APARTMENT FROM EAST AT SOUTH","01/05/2015","19","VIOLATION CLOSED","01/14/2015"
"10495382","428409","420216","4","QUEENS","144-67","144-67","144-87","41 AVENUE","9540","11355","L3","0","5025","50","C","01/03/2015","01/04/2015","02/07/2015","02/02/2015",,,,"616","4977730","§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) 1st DOOR FRAME FROM SOUTH AT WEST WALL IN THE FOYER LOCATED AT APT L3, 1st APARTMENT FROM NORTH AT EAST","01/05/2015","19","VIOLATION CLOSED","02/06/2015"
"10495188","97557","202501","2","BRONX","2338","2338","2338","MORRIS AVENUE","52120","10468","3F","3","3172","16","C","01/04/2015","01/05/2015","01/18/2015","01/13/2015",,,"01/09/2015","508","4977758","§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING IN THE KITCHEN LOCATED AT APT 3F, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH , SECTION AT WEST","01/05/2015","9","VIOLATION DISMISSED","03/23/2015"
"10494663","67115","202811","2","BRONX","10","4","14","EAST 198 STREET","27600","10468",,"0","3318","114","C","01/02/2015","01/04/2015","02/07/2015","02/02/2015",,,,"791","4977622","§ 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) THROUGHOUT THE PUBLIC AREAS IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. AT PUBLIC HALL","01/05/2015","19","VIOLATION CLOSED","04/19/2015"
"10493393","14246","126444","1","MANHATTAN","249","249","251","EAST 53 STREET","18050","10022",,"4","1327","120","C","12/31/2014","01/02/2015","01/18/2015","01/13/2015",,,"01/18/2015","526","4976982","§ 27-2005, 2007 ADM CODE REMOVE THE ILLEGAL FASTENING LOCKABLE SLIDE BOLT AT BULKHEAD DOOR TO ROOF , 4th STORY","01/05/2015","19","VIOLATION CLOSED","03/22/2015"
"10494217","6184","114584","1","MANHATTAN","160","160","160","AUDUBON AVENUE","12010","10033","B2","0","2130","22","C","01/02/2015","01/02/2015","01/18/2015","01/13/2015",,,,"596","4976968","§ 27-2026 ADM CODE REPLACE THE BROKEN OR DEFECTIVE WATER CLOSET IN THE BATHROOM LOCATED AT BSMT-APT B2, 1st BSMT-APT FROM WEST AT NORTH","01/05/2015","19","VIOLATION CLOSED","10/26/2018"
"10494735","809892","361383","3","BROOKLYN","811A","811A","811A","WILLOUGHBY AVENUE","93230","11206","3","3","1589","63","C","12/26/2014","01/03/2015","02/07/2015","02/02/2015",,,,"616","4977548","§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) 1st RADIATOR FROM EAST AT SOUTH WALL IN THE 3rd ROOM FROM NORTH AT EAST LOCATED AT APT 3, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST","01/05/2015","19","VIOLATION CLOSED","04/29/2025"
